Resultado,timestamp
🟢 Baixo risco de doença cardíaca (74.5% de probabilidade). Mantenha hábitos saudáveis.,2025-05-24 09:57:58.114862
🟢 Baixo risco de doença cardíaca (86.4% de probabilidade). Mantenha hábitos saudáveis.,2025-05-24 09:57:58.122578
